req_id,gender,style,color,season,req_url,article,name,price,photo,wb_url,name_join,category_group,uuid,ext,name_en,category,color_category
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,418199197,Футболка женская облегающая под пиджак лодочка хлопок,803,https://basket-24.wbbasket.ru/vol4181/part418199/418199197/images/big/1.webp,https://www.wildberries.ru/catalog/418199197/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-24.wbbasket.ru_vol4181_part418199_418199197_images_big_1,webp,T-shirt women's tight под blazer лодочка cotton,shirt,
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,415578067,Футболка скимс базовая облегающая,560,https://basket-24.wbbasket.ru/vol4155/part415578/415578067/images/big/1.webp,https://www.wildberries.ru/catalog/415578067/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-24.wbbasket.ru_vol4155_part415578_415578067_images_big_1,webp,T-shirt скимс базовая tight,shirt,
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,768975038,Топ футболка базовая облегающая черная,392,https://basket-36.wbbasket.ru/vol7689/part768975/768975038/images/big/1.webp,https://www.wildberries.ru/catalog/768975038/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-36.wbbasket.ru_vol7689_part768975_768975038_images_big_1,webp,Top t-shirt базовая tight black,top,black
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,167923918,Базовая черная футболка,346,https://basket-12.wbbasket.ru/vol1679/part167923/167923918/images/big/1.webp,https://www.wildberries.ru/catalog/167923918/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-12.wbbasket.ru_vol1679_part167923_167923918_images_big_1,webp,Базовая black t-shirt,shirt,black
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,248107042,Футболка облегающая,570,https://basket-16.wbbasket.ru/vol2481/part248107/248107042/images/big/1.webp,https://www.wildberries.ru/catalog/248107042/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-16.wbbasket.ru_vol2481_part248107_248107042_images_big_1,webp,T-shirt tight,shirt,
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,191186361,Футболка в стиле скимс бесшовная,862,https://basket-12.wbbasket.ru/vol1911/part191186/191186361/images/big/1.webp,https://www.wildberries.ru/catalog/191186361/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-12.wbbasket.ru_vol1911_part191186_191186361_images_big_1,webp,T-shirt в стиле скимс бесшовная,shirt,
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,249032678,Футболка в рубчик однотонная базовая,260,https://basket-16.wbbasket.ru/vol2490/part249032/249032678/images/big/1.webp,https://www.wildberries.ru/catalog/249032678/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-16.wbbasket.ru_vol2490_part249032_249032678_images_big_1,webp,T-shirt в рубчик solid базовая,shirt,
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,355680333,Футболка облегающая базовая черная,777,https://basket-21.wbbasket.ru/vol3556/part355680/355680333/images/big/1.webp,https://www.wildberries.ru/catalog/355680333/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-21.wbbasket.ru_vol3556_part355680_355680333_images_big_1,webp,T-shirt tight базовая black,shirt,black
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,195700969,Футболка облегающая базовая из вискозы летняя,674,https://basket-13.wbbasket.ru/vol1957/part195700/195700969/images/big/1.webp,https://www.wildberries.ru/catalog/195700969/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-13.wbbasket.ru_vol1957_part195700_195700969_images_big_1,webp,T-shirt tight базовая из вискозы summer,shirt,
1,female,casual,dark,all-seasons,https://www.wildberries.ru/catalog/0/search.aspx?page=1&sort=popular&search=женская+футболка+без+принта&f14177449=13600062&f11=9800%3B9798&f23796=31141&f204557=15001349,335405270,Футболка скимс базовая облегающая,763,https://basket-20.wbbasket.ru/vol3354/part335405/335405270/images/big/1.webp,https://www.wildberries.ru/catalog/335405270/detail.aspx?targetUrl=BP,женская футболка без принта,top,basket-20.wbbasket.ru_vol3354_part335405_335405270_images_big_1,webp,T-shirt скимс базовая tight,shirt,
